Country,Assignee,Count
FI,IQM FINLAND OY,92
SE,TELEFON AB ET LM ERICSSON AB,32
US,MICROSOFT TECHNOLOGY LICENSING LLC,20
FI,NOKIA TECHNOLOGY OY,11
FI,TEKNOLOGIAN TUTKIMUSKESKUS VTT,11
DK,UNIV OF COPENHAGEN,9
FI,ALGORITHMIQ OY,6
DK,QDEVIL APS,6
US,EXXONMOBIL UPSTREAM RESEARCH CO,4
SE,WACQT IP AB,4
FI,AALTO UNIV FOUNDATION SR,3
US,IBM CORP,3
NL,LOGINED BV,3
US,MICROSOFT CORP,3
FI,QUANSCIENT OY,3
FI,SEMIQON TECH OY,3
SE,AAKERMAN JOHAN,2
DK,AARHUS UNIV,2
FI,BLUEFORS OY,2
US,CORNING INC,2
SE,EPINOVATECH AB,2
US,GOOGLE LLC,2
SG,HORIZON QUANTUM COMPUTING PTE LTD,2
,MELLANOX TECHNOLOGY LTD,2
DK,MOLECULAR QUANTUM SOLUTIONS APS,2
,NVIDIA CORP,2
GB,QUANTUM MOTION TECH LTD,2
SE,SCALINQ AB,2
DE,SIEMENS AG,2
SE,SWEDEN QUANTUM AB,2
FI,TAMPERE UNIV TECHNOLOGY,2
,UNIV DANMARK,2
US,UNIV VERMONT,2
IE,ACCENTURE GLOBAL SOLUTIONS LTD,1
,ALSTOM TECHNOLOGY LTD,1
SE,ANDREKSON PETER AVO,1
,BAKER HUGHES INC,1
US,BARNHILL STEPHEN D,1
AU,BIOTEMPUS LTD,1
SE,BOURENNANE MOHAMED,1
SE,BURGER PAUL,1
FI,CARCELL PARK LTD,1
US,CARDIODX INC,1
SE,CHALMERS VENTURES AB,1
US,CHEVRON USA INC,1
,CODEXIS INC,1
,CODEXIS MAYFLOWER HOLDING LLC,1
,COLDQUANTA INC,1
,COLLIBRA NV SA,1
,COLLIBRA NVSA,1
,COOPER TIMOTHY PATRICK,1
,CORRELOGIC SYSTEM INC,1
,CSIR,1
,D WAVE SYSTEM INC,1
,DEJIMA CORP,1
,DIAGNO INTERNAT BV,1
,ETH ZURICH SWISS FEDERAL INSTITUTE OF TECHNOLOGY,1
,EUSKAL HERRIKO UNIBERTSITATE,1
,F HOFFMANN LA ROCHE & CO,1
,FEDERAL INSTITUTE OF TECHNOLOGY IN LAUSANNE,1
,FRED BERGMAN HEALTHCARE PL,1
,FREE UNIV OF BRUSSELS,1
,FREY JOEY,1
,GAMIDA FOR LIFE BV,1
,GENERAL ELECTRIC CO,1
,GN RESOUND AS,1
,H2L CO LTD,1
,HALLIBURTON ENERGY SERVICE INC,1
SE,HJERPEKJOEN HAUG TROND,1
,HORUS THERAPEUTICS INC,1
,HVIDOVRE HOSPITAL,1
,INTERACT DEVICES INC,1
,KOLVIK JOHAN,1
,KONE CORP,1
,KRONES AG,1
DK,KVANTIFY APS,1
,LANDMARK GRAPHICS CORP,1
SE,LARSSON JAN AAKE,1
,M2ANY GMBH,1
US,MASTERCARD INTERNATIONAL INC,1
,MICROSOFT INTERNATIONAL HOLDING BV,1
,MILESTONE SYSTEM AS,1
SE,MYCRONIC AB,1
SE,NANOSC AB,1
,NEC CORP,1
,NOKIA NETWORKS OY,1
,NOKIA OYJ,1
FI,NOKIA SOLUTIONS & NETWORKS OY,1
GB,NPL MANAGEMENT LTD,1
,OLSSON SAMUEL LARS IVAR,1
,OUTOTEC OYJ,1
,PFIZER INC,1
,PLANMECA OY,1
US,PSIQUANTUM CORP,1
SE,QET SWEDEN AB,1
,RIDGEVIEW DIAGNOSTICS AB,1
,SCHLUMBERGER TECHNOLOGY BV,1
,SHELL INTERNATIONALE RESEARCH MAATSCHAPPIJ BV,1
,SHT CO LTD,1
