"IPC Full","Total"
"G06N10/40 : Physical realisations or architectures of quantum processors or components for manipulating qubits, e.g. qubit coupling or qubit control ",122
"G06N10/20 : Models of quantum computing, e.g. quantum circuits or universal quantum computers ",41
"G06N10/00 : Quantum computing, i.e. information processing based on quantum-mechanical phenomena ",38
"B82Y10/00 : Nanotechnology for information processing, storage or transmission, e.g. quantum computing or single electron logic ",29
"H10N69/00 : Integrated devices, or assemblies of multiple devices, comprising at least one superconducting element covered by group  ",28
"H10N60/12 : Josephson-effect devices ",24
"G06N10/70 : Quantum error correction, detection or prevention, e.g. surface codes or magic state distillation ",19
"G06N10/60 : Quantum algorithms, e.g. based on quantum optimisation, or quantum Fourier or Hadamard transforms ",12
"H10N60/10 : Junction-based devices ",12
"H10N60/80 : Constructional details ",12
