"Innovation_Timeline_(Current_Owner_-_Application_Date)",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"IQM FINLAND OY",,,,,,,,,,,11,27,29,36,14,8
"MICROSOFT CORP",,,,,,,,,1,1,3,2,2,2,2,
"ERICSSON AB",,,,,,,,,,1,1,,2,2,,
"IQM FINLAND",,,,,,,,,,,,6,,,,
"KOBENHAVNS UNIVERSITET",,,,,,,,,,,2,,1,1,2,
"AALTO KORKEAKOULUSAATIO SR",,,,,,,,,,,,1,,,1,1
"ALGORITHMIQ OY",,,,,,,,,,,,1,1,2,2,
"NOKIA CORP",,,,,,,,,,,,,2,2,,
"NVIDIA CORP",,,,,,,,,,,,,1,3,,
"TEKNOLOGIAN TUTKIMUSKESKUS VTT",,,,,,,,,,,,2,3,,,
