Assignee,Count
IQM FINLAND OY,92
TELEFON AB ET LM ERICSSON AB,32
MICROSOFT TECHNOLOGY LICENSING LLC,20
NOKIA TECHNOLOGY OY,11
TEKNOLOGIAN TUTKIMUSKESKUS VTT,11
UNIV OF COPENHAGEN,9
ALGORITHMIQ OY,6
QDEVIL APS,6
EXXONMOBIL UPSTREAM RESEARCH CO,4
WACQT IP AB,4
AALTO UNIV FOUNDATION SR,3
IBM CORP,3
LOGINED BV,3
MICROSOFT CORP,3
QUANSCIENT OY,3
SEMIQON TECH OY,3
AAKERMAN JOHAN,2
AARHUS UNIV,2
BLUEFORS OY,2
CORNING INC,2
EPINOVATECH AB,2
GOOGLE LLC,2
HORIZON QUANTUM COMPUTING PTE LTD,2
MELLANOX TECHNOLOGY LTD,2
MOLECULAR QUANTUM SOLUTIONS APS,2
NVIDIA CORP,2
QUANTUM MOTION TECH LTD,2
SCALINQ AB,2
SIEMENS AG,2
SWEDEN QUANTUM AB,2
TAMPERE UNIV TECHNOLOGY,2
UNIV DANMARK,2
UNIV VERMONT,2
ACCENTURE GLOBAL SOLUTIONS LTD,1
ALSTOM TECHNOLOGY LTD,1
ANDREKSON PETER AVO,1
BAKER HUGHES INC,1
BARNHILL STEPHEN D,1
BIOTEMPUS LTD,1
BOURENNANE MOHAMED,1
BURGER PAUL,1
CARCELL PARK LTD,1
CARDIODX INC,1
CHALMERS VENTURES AB,1
CHEVRON USA INC,1
CODEXIS INC,1
CODEXIS MAYFLOWER HOLDING LLC,1
COLDQUANTA INC,1
COLLIBRA NV SA,1
COLLIBRA NVSA,1
COOPER TIMOTHY PATRICK,1
CORRELOGIC SYSTEM INC,1
CSIR,1
D WAVE SYSTEM INC,1
DEJIMA CORP,1
DIAGNO INTERNAT BV,1
ETH ZURICH SWISS FEDERAL INSTITUTE OF TECHNOLOGY,1
EUSKAL HERRIKO UNIBERTSITATE,1
F HOFFMANN LA ROCHE & CO,1
FEDERAL INSTITUTE OF TECHNOLOGY IN LAUSANNE,1
FRED BERGMAN HEALTHCARE PL,1
FREE UNIV OF BRUSSELS,1
FREY JOEY,1
GAMIDA FOR LIFE BV,1
GENERAL ELECTRIC CO,1
GN RESOUND AS,1
H2L CO LTD,1
HALLIBURTON ENERGY SERVICE INC,1
HJERPEKJOEN HAUG TROND,1
HORUS THERAPEUTICS INC,1
HVIDOVRE HOSPITAL,1
INTERACT DEVICES INC,1
KOLVIK JOHAN,1
KONE CORP,1
KRONES AG,1
KVANTIFY APS,1
LANDMARK GRAPHICS CORP,1
LARSSON JAN AAKE,1
M2ANY GMBH,1
MASTERCARD INTERNATIONAL INC,1
MICROSOFT INTERNATIONAL HOLDING BV,1
MILESTONE SYSTEM AS,1
MYCRONIC AB,1
NANOSC AB,1
NEC CORP,1
NOKIA NETWORKS OY,1
NOKIA OYJ,1
NOKIA SOLUTIONS & NETWORKS OY,1
NPL MANAGEMENT LTD,1
OLSSON SAMUEL LARS IVAR,1
OUTOTEC OYJ,1
PFIZER INC,1
PLANMECA OY,1
PSIQUANTUM CORP,1
QET SWEDEN AB,1
RIDGEVIEW DIAGNOSTICS AB,1
SCHLUMBERGER TECHNOLOGY BV,1
SHELL INTERNATIONALE RESEARCH MAATSCHAPPIJ BV,1
SHT CO LTD,1
