Assignee,Country
IQM FINLAND OY,FI
TELEFON AB ET LM ERICSSON AB,SE
HORIZON QUANTUM COMPUTING PTE LTD,SG
QUANSCIENT OY,FI
SWEDEN QUANTUM AB,SE
TEKNOLOGIAN TUTKIMUSKESKUS VTT,FI
ALGORITHMIQ OY,FI
WACQT IP AB,SE
SCALINQ AB,SE
SEMIQON TECH OY,FI
SPINWAVE COMPUTING AB,SE
TERRA QUANTUM AG,CH
GOOGLE LLC,US
MICROSOFT TECHNOLOGY LICENSING LLC,US
VOLVO CAR CORP,SE
QET SWEDEN AB,SE
AARHUS UNIV,DK
BLUEFORS OY,FI
NPL MANAGEMENT LTD,GB
UNIV OF SEVILLE,ES
HJERPEKJOEN HAUG TROND,SE
AAKERMAN JOHAN,SE
CHALMERS VENTURES AB,SE
KVANTIFY APS,DK
NOKIA SOLUTIONS & NETWORKS OY,FI
BOURENNANE MOHAMED,SE
NOKIA TECHNOLOGY OY,FI
MOLECULAR QUANTUM SOLUTIONS APS,DK
MASTERCARD INTERNATIONAL INC,US
IBM CORP,US
SILICON QUANTUM COMPUTING PL,AU
EPINOVATECH AB,SE
NANOSC AB,SE
ACCENTURE GLOBAL SOLUTIONS LTD,IE
PSIQUANTUM CORP,US
MYCRONIC AB,SE
QUANTUM MOTION TECH LTD,GB
LARSSON JAN AAKE,SE
NOKIA CORP,FI
EXXONMOBIL UPSTREAM RESEARCH CO,US
LOGINED BV,NL
MICROSOFT CORP,US
SIEMENS AG,DE
TAMPERE UNIV TECHNOLOGY,FI
UNIV VERMONT,US
ANDREKSON PETER AVO,SE
BARNHILL STEPHEN D,US
BIOTEMPUS LTD,AU
BURGER PAUL,SE
CARCELL PARK LTD,FI
CARDIODX INC,US
CHEVRON USA INC,US
