"CPC Full","Total"
"G06N10/40 : Physical realisations or architectures of quantum processors or components for manipulating qubits, e.g. qubit coupling or qubit control",161
"G06N10/20 : Models of quantum computing, e.g. quantum circuits or universal quantum computers",86
"G06N10/00 : Quantum computing, i.e. information processing based on quantum-mechanical phenomena",68
"B82Y10/00 : Nanotechnology for information processing, storage or transmission, e.g. quantum computing or single electron logic",53
"G06N10/60 : Quantum algorithms, e.g. based on quantum optimisation, quantum Fourier or Hadamard transforms",50
"H10N69/00",44
"H10N60/12",38
"G06N10/70 : Quantum error correction, detection or prevention, e.g. surface codes or magic state distillation",34
"H10N60/01",19
"H10N60/805",18
