"IPC Full","Total"
"G06N10/40 : Physical realisations or architectures of quantum processors or components for manipulating qubits, e.g. qubit coupling or qubit control ",145
"G06N10/00 : Quantum computing, i.e. information processing based on quantum-mechanical phenomena ",88
"G06N10/20 : Models of quantum computing, e.g. quantum circuits or universal quantum computers ",64
"B82Y10/00 : Nanotechnology for information processing, storage or transmission, e.g. quantum computing or single electron logic ",53
"H10N69/00 : Integrated devices, or assemblies of multiple devices, comprising at least one superconducting element covered by group  ",49
"G06N10/60 : Quantum algorithms, e.g. based on quantum optimisation, or quantum Fourier or Hadamard transforms ",40
"H10N60/12 : Josephson-effect devices ",38
"G06N10/70 : Quantum error correction, detection or prevention, e.g. surface codes or magic state distillation ",27
"H10N60/01 : Manufacture or treatment ",23
"H10N60/10 : Junction-based devices ",20
