Inventor,Country
PINA CANELLES VICENTE,FI
AUER ADRIAN,FI
LEIB MARTIN,FI
DE VEGA INES,FI
LAHTEENMAKI PASI,FI
ORGIAZZI JEAN LUC,FI
SAIRA OLLI PENTTI,FI
BAKO BENCE,HU
HAGA PETER,HU
KALLUS ZSOFIA,HU
ZIMBORAS ZOLTAN,HU
HEINSOO JOHANNES,FI
TUORILA JANI,FI
FITZSIMONS JOSEPH FRANCIS,SG
TAN SI HUI,DK
THOMPSON JAYNE,SG
CHEW AMANDA,SG
ORGIAZZI JEAN LUC,FI
SAIRA OLLI PENTTI,FI
ORGIAZZI JEAN LUC,FI
SAIRA OLLI PENTTI,FI
BUDINSKI LJUBOMIR,FI
NIEMIMAKI OSSI,FI
LAHTINEN VALTTERI,FI
BAKO BENCE,HU
TABI ZSOLT,HU
HAGA PETER,HU
NAGY DANIEL,HU
VADERNA PETER,HU
KALLUS ZSOFIA,HU
ZIMBORAS ZOLTAN,HU
ANDERSSON LINUS,SE
RONKKO JAMI,FI
SEVRIUK VASILII,FI
MAKINEN AKSELI,FI
TUORILA JANI,FI
NATH JAYSHANKAR,DE
THAPA MANSIH,DE
KU HSIANG SHENG,DE
GUSENKOVA DARIA,DE
HSU HAO,DE
SIBILLE VALERIAN,DE
OCKELOEN KORPPI CASPAR,FI
OCKELOEN KORPPI CASPAR,FI
LANDRA ALESSANDRO,FI
GUTHRIE ANDREW,FI
VEPSALAINEN ANTTI,FI
WINKA ANDERS,SE
AWAN AHSAN JAVED,SE
HOU RUI,SE
KUNDU SUMAN,FI
MOTTONEN MIKKO,FI
SAH AASHISH,FI
MARXER FABIAN,FI
VEPSALAINEN ANTTI,FI
TUORILA JANI,FI
HEINSOO JOHANNES,FI
CALZONA ALESSIO,DE
PAPIC MIHA,DE
FIGUEROA ROMERO PEDRO,DE
CALZONA ALESSIO,DE
HOSSEINKHANI AMIN,DE
AUER ADRIAN,DE
DE VEGA INES,DE
LIU TIANHAN,DE
MILLER AARON,IE
KALITEEVSKIY NIKOLAY ALEKSEYEVICH,FI
KISELEV FEDOR DMITRIEVICH,RU
MLEJNEK MICHAL,US
TAKETANI BRUNO,FI
BLICK ROBERT,DE
MASSEL FRANCESCO,NO
BOCHAROV ALEXEI,US
FERNANDEZ DIEGO OLIVIER,DK
BARZEGAR AMIN,US
LUTCHYN ROMAN MYKOLAYOVYCH,US
ANTIPOV ANDREY,US
WINKLER GEORG WOLFGANG,US
COLE JR WILLIAM SCOTT,US
SEVRIUK VASILI,FI
RONKKO JAMI,FI
MARXER FABIAN,FI
VEPSALAINEN ANTTI,FI
ZAMORA ANTONIO DAVID BASTIDA,FI
BUDINSKI LJUBOMIR,RS
NIEMIMAKI OSSI,FI
LAHTINEN VALTTERI,FI
FIGUEROA ROMERO PEDRO,DE
LANDRA ALESSANDRO,FI
OCKELOEN KORPPI CASPAR,FI
CHERUKHIN IURII,FI
KOTILAHTI JANNE,FI
TAKALA EELIS,FI
BERN DAVID,SE
AWAN AHSAN JAVED,SE
NAMMI SAIRAMESH,US
YILMAZ UGUR,DE
SAIRA OLLI PENTTI,FI
NATH JAYSHANKAR,DE
LI HANGXI,SE
HATINEN JOEL,FI
